Score,CandidateLipidClassType,SpectrumLipidClassType,ClassifierType,Type,SpectrumID
50.7040498211457,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec389
50.7040498211457,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec389
33.8768895778418,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec389
21.297526847643,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec389
59.6262535779444,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec390
54.2711350386847,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec390
48.890941679767,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec390
48.890941679767,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec390
34.230669431031,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec390
21.2917283351137,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec390
23.3531063138156,LMSP0108,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec391
59.8124442464857,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec392
55.361459244787,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec392
49.1041573881995,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec392
49.1041573881995,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec392
34.2247250090543,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec392
21.2492575791815,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec392
31.5705879795075,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec393
0.123632669832431,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec393
55.4387724913114,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec394
32.3277883686151,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec395
0.117934958788022,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec395
69.6701457366941,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec396
42.5764960399885,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec397
0.152738403101892,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec397
69.5286537229465,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec398
74.1336368280232,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec399
93.5916252655918,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec400
79.7707301796355,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec401
133.883590004444,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec402
111.549822170722,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec403
21.2117057467588,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec404
21.0630457579735,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec405
9.51601750389351,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec406
107.695482341415,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec407
84.8172293339817,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec407
155.561918098177,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec408
121.832657631613,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec408
129.083714838586,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec409
114.665759399238,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec409
69.4075287563422,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec410
31.504203421799,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec411
0.11797113970462,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec411
53.3972972397041,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec412
34.5632450718298,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec413
0.123720308340662,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec413
72.5661120087246,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec414
72.1063784915908,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec415
71.8394530814665,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec416
83.3053042601643,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec417
65.6802346120756,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec418
41.3073209085196,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec419
17.776448505729,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec420
20.1278140971955,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec421
164.099516341555,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec422
129.727531702588,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec422
155.430847160105,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec423
38.1083846116604,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec423
55.5112126567442,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec424
31.8514752459439,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec425
0.119339624103956,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec425
69.1141124516096,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec426
31.5708797196756,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec427
0.123176640643492,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec427
72.1282246276641,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec428
71.4703049209295,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec429
74.2996330580035,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec430
121.940697181718,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec431
53.0487998336563,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec432
89.9547809115096,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec433
30.9790765710116,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec434
18.5952520884514,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec435
151.92268155656,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec436
37.3518065932356,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec436
112.537928708481,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec437
105.839738220738,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec437
84.8790537003242,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec438
71.0841033173748,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec438
56.8656250301158,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec439
53.4828022186837,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec440
31.7929653223529,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec441
0.121644006822547,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec441
48.3651882826075,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec442
72.0493107978731,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec443
73.3493269732296,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec444
75.7119570723405,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec445
110.10251052862,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec446
144.318554512121,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec447
81.9536054927893,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec448
112.412714669631,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec449
108.396753211421,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec450
17.991832748448,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec451
21.6822236685077,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec452
153.008614749873,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec453
116.833250987489,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec453
151.898702826068,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec454
122.02476157446,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec454
109.782966191258,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec455
104.248559654894,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec455
76.6855168766518,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec456
34.863754633817,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec457
0.135868354118608,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec457
75.4949940844931,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec458
40.9689223812353,LMPK0400,LMGP0601,LMGP0601_sin,bg,spec459
0.163595481197997,LMPR0303,LMGP0601,LMGP0601_sin,bg,spec459
74.5799857555708,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec460
73.3917525150125,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec461
91.0158858418232,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec462
92.3578284110836,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec463
127.72064488255,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec464
19.3994681992629,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec465
20.7351402146095,LMGP0401,LMGP0601,LMGP0601_sin,bg,spec466
125.495231233342,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec467
111.582138521771,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec467
151.387691099651,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec468
121.403865538619,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec468
132.827282954465,LMGP0603,LMGP0601,LMGP0601_sin,bg,spec469
118.850316773369,LMGP0602,LMGP0601,LMGP0601_sin,bg,spec469
